Título,Enlace_Origen,Descripción,Votos_Original,Clics_Original,Votos_Numerico,Clics_Numerico,Ratio_Validacion_%,¿Es_Sospechosa?
El papel de la CIA y la OTAN en la caída de Adolfo Suárez,https://diario-octubre.com/2026/06/22/el-papel-de-la-cia-y-la-otan-en-la-caida-de-adolfo-suarez/,"Adolfo Suárez, presidente del Gobierno desde 1976, había liderado la reestructuración del Estado franquista tras la muerte del dictador. Sin embargo, su política exterior adoptó un giro neutralista que alarmó a Washington y a los sectores más conservadores de la OTAN. El enfrentamiento con Washington alcanzó su punto culminante el 14 de enero de 1980, cuando Suárez se reunió con el presidente Jimmy Carter. Carter le ofreció su apoyo para la entrada de España en la OTAN, pero Suárez lo rechazó. La prensa española interpretó el comunicado final",35,150 clics,35,150,23.178807947019866,False
Indignación en la audiencia ante las reiteradas entrevistas de Ana Rosa a Ayuso: “¿Tiene sección?”,https://www.elplural.com/extratele/indignacion-audiencia-reiteradas-entrevistas-ana-rosa-ayuso-tiene-seccion_393964102,"Para entender el monumental enfado que ha inundado plataformas como X, basta con repasar el contexto que sobrevuela esta alianza mediática: la presidenta madrileña ha concedido 16 entrevistas a este espacio en apenas tres años y medio, un récord de asiduidad que coincide en el tiempo con los más de 11,5 millones de euros de dinero público que el Gobierno regional ha inyectado, a través de Telemadrid, en Unicorn Content, la productora propiedad de la presentadora.",120,129 clics,120,129,92.3076923076923,False
Detenidas una exedil del PP y su hija acusadas de apropiarse de 25.000 € de una entidad de Alzheimer,https://www.elconfidencial.com/espana/castilla-y-leon/2026-06-24/detenidas-exedil-pp-hija-acusadas-apropiarse-dinero-entidad-alzheimer_4377664/,"La detención de la exconcejala del PP de Palencia y presidenta de la asociación de Alzheimer de la provincia, Milagros Carvajal, acusada de presunta apropiación indebida de fondos de la institución para afrontar gastos personales, ha causado una honda conmoción en las asociaciones del tercer sector. Junto a ella fue detenida su hija, Rebeca González, directora de la asociación, por los mismos hechos. Los investigadores creen que ambas desviaron no menos de 25.000 euros a lo largo de varios años, aunque la cifra final podría ser muy superior.",106,105 clics,106,105,100.0,False
España envía a la UME a Venezuela para ayudar en el trabajo tras los terremotos,https://www.infobae.com/espana/2026/06/25/espana-envia-a-la-ume-a-venezuela-para-ayudar-en-el-trabajo-tras-los-terremotos-que-ya-han-dejado-32-muertos-y-700-heridos/,"El ministro de Asuntos Exteriores español, José Manuel Albares, ha mantenido una conversación telefónica con el canciller de Venezuela, Yvan Gil, poco antes de partir hacia México junto al rey Felipe VI. Durante el contacto, Albares ha expresado la “solidaridad de España” y ha ofrecido su ayuda a través de la Agencia Española de Cooperación Internacional para el Desarrollo (AECID) y de la Unidad Militar de Emergencias (UME). Fuentes de Defensa confirman a Infobae que se va a realizar un despliegue.",140,140 clics,140,140,99.29078014184397,False
Imágenes aéreas del desastre que deja el terremoto en Venezuela,https://www.laregion.es/mundo/video-estremecedoras-imagenes-aereas-desastre-terremoto-venezuela_1_20260625-4330332.html,"Las impactantes imágenes aéreas muestran la magnitud de la destrucción en la ciudad costera de La Guaira, una de las zonas más afectadas por el doble terremoto que sacudió Venezuela y que deja al menos 188 fallecidos y más de 1.500 heridos, según el último balance oficial.  Las fotos, captadas tras el paso de los sismos de magnitudes 7,2 y 7,5 con apenas 39 segundos de diferencia, revelan barrios enteros reducidos a escombros, infraestructuras colapsadas y calles cubiertas de restos, polvo y estructuras derrumbadas.",74,1841 clics,74,1841,4.017372421281216,False
Telefónica da un ultimátum a los que conectan equipos no oficiales a su fibra. O restituyen su router o perderán el servicio,https://bandaancha.eu/articulos/aviso-excepcional-telefonica-conectan-11821,"La libertad de poner equipos independientes conectados a la red de fibra de Movistar llega a su fin. Movistar está enviando un aviso a los usuarios que no utilizan sus equipos oficiales, notificando una medida drástica que supone perder la conexión si no se restituye el equipo original. El ONT es el primer aparato dentro de casa al que llega la luz láser de la fibra. Su función es convertir la señal óptica en una señal Ethernet para que la entienda el router. Aunque hace años Telefónica usaba ONT y router por separado...",77,1170 clics,77,1170,6.575576430401367,False
"Hola, personas que están en contra de la eutanasia",https://www.meneame.net/story/hola-personas-estan-contra-eutanasia,"No voy a dar datos de filiación ni antecedentes personales muy específicos para preservar su anonimato, además de por ser obligatorio preservar su confidencialidad. Se trata un varón que no llega a los 60 años con un carcinoma estadío IV en progresión y múltiples metástasis diagnosticado hace unos meses y que oncología recientemente ha dicho ya que dado lo avanzado de la enfermedad no es candidato ni siquiera para quimioterapia paliativa, únicamente control sintomático, por lo que derivan a …",127,2864 clics,127,2864,4.43280977312391,False
Joan Collins: impactantes retratos del rodaje de «Tierra de faraones» (1955) [ENG],http://www.vintag.es/2026/06/joan-collins-land-of-the-pharaohs.html,"Mucho antes de convertirse en la villana televisiva por excelencia de los años 80, una Joan Collins de 21 años conquistó Hollywood en el fastuoso épico histórico de Howard Hawks, «Tierra de faraones» (1955). Estos impactantes retratos del rodaje capturan a Collins en el deslumbrante amanecer de su estrellato internacional, encarnando a la traicionera pero fascinante princesa Nellifer. Vestida con magníficas interpretaciones del Hollywood de mediados de siglo de la alta costura del antiguo Egipto, irradiaba una sensualidad felina.",43,1594 clics,43,1594,2.6959247648902824,True
El Estado español se sitúa a la cola de la UE en días de baja a cargo de la empresa,https://diariosocialista.net/2026/06/25/el-estado-espanol-se-situa-a-la-cola-de-la-ue-en-dias-de-baja-a-cargo-de-la-empresa/,"Mientras la Patronal criminaliza a los trabajadores mezclando absentismo y bajas, las empresas españolas costean solo 12 días frente a las seis semanas de Alemania, o los dos años de Países Bajos.",297,369 clics,297,369,80.27027027027027,False
“No es Netanyahu (por si acaso)”: Alozaina quema por San Juan un muñeco inspirado en el primer ministro israelí,https://www.areacostadelsol.com/malaga/no-es-netanyahu-por-si-acaso-alozaina-quema-por-san-juan-un-muneco-inspirado-en-el-primer-ministro-israeli/,"“No es Netanyahu (por si acaso)”. Ese era el cartel que llevaba colgado al cuello uno de los muñecos que adornaba la calle de Alozaina para la noche de San Juan. La figura, vestida con traje y una careta con el rostro de Benjamin Netanyahu, fue realizada por la Asamblea local de Izquierda Unida de Alozaina dentro de la tradicional quema de los Júas, una de las costumbres más populares y con más arraigo del municipio. La frase no era inocente. El mensaje jugaba con la polémica ocurrida meses antes en El Burgo, localidad vecina de la Sierra...",141,595 clics,141,595,23.657718120805367,False
Venezuela te busca,https://venezuela-te-busca-app.hellogafaro.workers.dev/,Registro público de personas desaparecidas tras el terremoto 2026.,154,1716 clics,154,1716,8.96913220733838,False
El calor que ha azotado Francia esta semana ha sido peor que el peor escenario imaginado para 2050 (ENG),https://www.washingtonpost.com/weather/2026/06/25/french-tv-presenter-once-imagined-2050-heat-wave-did-france-reach-those-levels-this-week/,Las altas temperaturas registradas el miércoles en Francia igualaron o superaron las predicciones para una hipotética ola de calor en 2050 en 19 de las 34 localidades.,243,978 clics,243,978,24.821246169560776,False
El Congreso aprueba en pleno la transferencia a Galicia de la AP-9,https://www.laopinioncoruna.es/galicia/2026/06/25/congreso-aprueba-pleno-transferencia-galicia-131797352.html,"El Congreso de los Diputados ha aprobado esta mañana, en pleno, un acuerdo histórico: el traspaso a Galicia de la titularidad y gestión de la AP-9. Lo ha hecho con los votos en contra del Partido Popular y de Vox. Es la primera vez que esta demanda gallega ha llegado tan lejos en su tramitación en las Cortes Generales de los cuatro intentos realizados, pero todavía queda un largo camino por delante antes de materializarse.",206,576 clics,206,576,35.70190641247834,False
Hoy soy quien soy porque ayer pirateé,https://www.viernesenkiribati.com/p/hoy-soy-quien-soy-porque-ayer-piratee,"Una memoria autobiográfica sobre cómo la piratería funcionó durante años como infraestructura de acceso cultural para quienes crecieron lejos de cines, librerías y tiendas de discos. Del VHS y los CD grabados a eMule, Sci-Hub, los NAS y el regreso a las descargas ante la fragmentación y degradación de las plataformas. El texto defiende que la legalidad no agota la discusión moral: sostiene la necesidad de pagar a los creadores cuando sea posible, pero también el derecho a buscar, conservar y decidir qué cultura consumir.",218,1148 clics,218,1148,18.97302001740644,False
La portavoz de Familia de Vox: “Cuando tengamos mayoría absoluta no dejaremos una coma de la Ley del Aborto”,https://www.elpueblodeceuta.es/sec/politica/portavoz-familia-vox-tengamos-mayoria_1_1179640.html,"Por eso, cuando gobiernen, prometen no dejar “una sola coma de la Ley del Aborto”. Tampoco de la Eutanasia ni de la actual legislación de la violencia sobre la mujer.",416,918 clics,416,918,45.26659412404788,False
Álex de la Iglesia dirigirá su primera película de animación llevando al cine el universo de H.P. Lovecraft,https://cineconn.es/alex-de-la-iglesia-hp-lovecraft-age-of-madness/,"Álex de la Iglesia dirigirá Ages of Madness: The Howling of the Jinn, su primer largometraje de animación. Una adaptación a la animación 3D del universo de H.P. Lovecraft producida desde España que empezará su producción a finales de 2026 y se anuncia como una historia que «explora la fragilidad de la cordura humana frente a lo desconocido». Álex de la Iglesia ha declarado: «antes de hacer cine yo dibujaba monstruos. Empecé haciendo cómics y la animación siempre ha estado ahí. Ages of Madness me da la oportunidad de reencontrarme con mis inicio",176,775 clics,176,775,22.68041237113402,False
Una guarida secreta para amantes de los sudokus y pasatiempos por el estilo,https://puzzlelair.com,"Puzzle Lair («La guarida de los puzles») es un recoveco en la web para los fans de los Sudokus y los juegos lógicos con numeritos. Es básicamente una recopilación de diversas variantes de Sudokus que cambian cada día y entre los que hay muchos clásicos pero también otros ingeniosamente diferentes. Cada día hay un reto nuevo, gratis, sin anuncios y con la idea de tentarte a la procrastinación y a la pérdida de productividad… [vía microsiervos]",86,1905 clics,86,1905,4.512067156348373,False
Un venezolano graba el estado de su edificio mientras baja por las escaleras,https://www.youtube.com/watch?v=hr9Uv_OaxkQ,El hombre trataba de huir de su bloque de viviendas bajando por las escaleras y cada piso que desciende en peores condiciones se encuentra.,138,3899 clics,138,3899,3.5384615384615383,False
"""Atropellado en León un anciano de 45 años a la altura de Mariano Andrés"".",https://www.meneame.net/story/atropellado-leon-anciano-45-anos-altura-mariano-andres-tpm,"¿""Atropellado en León un anciano de 45 años a la altura de Mariano Andrés.""? Pero vamos a ver Diario de León...¡Anciano! TPM...",192,10477 clics,192,10477,1.8324107654132469,True
El ensañamiento de Feijóo con Sánchez puede resucitar a una parte de la izquierda,https://diariosabemos.com/analisis/el-ensanamiento-de-feijoo-con-sanchez-puede-resucitar-a-una-parte-de-la-izquierda_517581_102.html,En el Partido Popular hay preocupación porque la ofensiva judicial y mediática contra el presidente del Gobierno no se está traduciendo en votos,367,1601 clics,367,1601,22.908863920099876,False
"Zapatero pide la ""nulidad general"" del caso Plus Ultra por vulneración de derechos",https://www.ondacero.es/noticias/espana/zapatero-pide-nulidad-general-caso-plus-ultra-vulneracion-derechos_202606256a3d1853abcaef0cd1255177.html,"El expresidente del Gobierno José Luis Rodríguez Zapatero ha solicitado ""la nulidad general de las actuaciones"" del caso Plus Ultra al considerar que se han vulnerado varios de sus derechos fundamentales y que se ha incorporado a la causa ""prueba ilícitamente analizada"". La defensa del expresidente considera que el procedimiento ""parte de unos análisis de conversaciones privadas no autorizados"".",358,468 clics,358,468,76.33262260127933,False
"Miguel Santos, matemático: ""Completar el álbum de cromos del Mundial cuesta, de media, 1.500 euros""",https://cadenaser.com/nacional/2026/06/24/miguel-santos-matematico-completar-el-album-de-cromos-del-mundial-cuesta-de-media-1500-euros-cadena-ser/,"Para responder a la gran pregunta —cuánto cuesta realmente completar el álbum del Mundial— el programa recurrió a las matemáticas. Miguel Santos, graduado en Física y Matemáticas y doctorando en Estadística, fue contundente: la respuesta está en la probabilidad. ""El completar la colección depende un poco del dinero que te dejas. Cuanto más dinero, más probabilidades tienes de completarla"", explicó. Y puso cifras concretas: con 980 cromos en total, sobres de siete unidades y un precio de 1,5 euros cada uno, el cálculo medio es elevado.",234,1192 clics,234,1192,19.61441743503772,False
Los visigodos y los ostrogodos jamás existieron [CAT],https://www.historiesdeuropa.cat/2026/06/els-visigots-i-els-ostrogods-no-van-existir-mai/,"Los godos eran un solo pueblo. Jamás se «dividieron», y nunca se denominaron «visigodos» ni «ostrogodos», como aún se insiste en llamarlos en la actualidad. En los documentos de la época (de los siglos III al VII), conceptos com «godos del este» y «godos del oeste» no existían como a divisiones políticas, identitarias, ni étnicas.",105,713 clics,105,713,14.705882352941178,False
Un grupo de mujeres utiliza la IA para vestir a hombres con burkas a modo de protesta satírica,https://www.20minutos.es/gonzoo/un-grupo-mujeres-utiliza-ia-para-vestir-hombres-con-burkas-modo-protesta-satirica_7006430_0.html,Las publicaciones buscan demostrar la hipocresía de quienes obligan a llevar la prenda mientras los hombres sí pueden tener libertad.,247,3814 clics,247,3814,6.474442988204456,False
"Grupos de menores apalizan a otros estudiantes a las salidas de los institutos de Cornellà de Llobregat: ""Nadie habla de ello""",https://metropoliabierta.elespanol.com/gran-barcelona/20260624/grupos-menores-apalizan-estudiantes-salidas-institutos-cornella-llobregat-nadie-habla/1003742769945_0.html,"Vídeos de palizas, humillaciones y agresiones grupales circulan entre estudiantes de institutos del municipio; los Mossos aseguran conocer este tipo de incidentes, frecuentes a la salida de algunos centros educativos",269,2670 clics,269,2670,10.071134406589293,False
